pair_id	protein_name	label	rna_len	prot_len	example_class	neg_strategy	parent_pair_id	prob_v2
curated_0042	PTB1 (RBD34)	1	27	208	curated_positive		curated_0042	0.04802238196134567
curated_0043	PTB1 (RBD34)	1	33	208	curated_positive		curated_0043	0.04802238196134567
curated_0044	PTB1 (RBD34)	1	39	208	curated_positive		curated_0044	0.04802238196134567
curated_0045	PTB1 (RBD34)	1	44	208	curated_positive		curated_0045	0.04802238196134567
curated_0046	PTB1 (RBD34)	1	6	208	curated_positive		curated_0046	0.09988471865653992
curated_0048	PTB1	1	6	531	curated_positive		curated_0048	0.19370684027671814
curated_0049	FBF-1	1	37	494	curated_positive		curated_0049	0.36001506447792053
curated_0050	FBF-2	1	37	632	curated_positive		curated_0050	0.4007808566093445
curated_0055	HNRNPM	1	17918	729	curated_positive		curated_0055	0.9740875363349915
curated_0056	HNRNPU	1	17918	800	curated_positive		curated_0056	0.9259256720542908
curated_0057	HNRNPK	1	17918	463	curated_positive		curated_0057	0.7677813768386841
curated_0058	MYEF2	1	17918	591	curated_positive		curated_0058	0.9786428213119507
curated_0059	SPEN	1	17918	3644	curated_positive		curated_0059	0.9730594158172607
curated_0060	RBMXL1	1	17918	388	curated_positive		curated_0060	0.9447585940361023
curated_0061	HNRNPAB	1	17918	285	curated_positive		curated_0061	0.858124852180481
curated_0062	HNRNPD	1	17918	355	curated_positive		curated_0062	0.7639041543006897
curated_0063	HNRNPC	1	17918	313	curated_positive		curated_0063	0.8542611002922058
curated_0064	TARDBP	1	17918	414	curated_positive		curated_0064	0.9667569398880005
curated_0065	IGF2BP1	1	17918	577	curated_positive		curated_0065	0.6999531984329224
curated_0066	DDX39B	1	17918	428	curated_positive		curated_0066	0.9257305264472961
curated_0067	RBM15	1	17918	962	curated_positive		curated_0067	0.9049019813537598
curated_0068	HNRNPUL2	1	17918	745	curated_positive		curated_0068	0.9601141810417175
curated_0069	RBM14	1	17918	669	curated_positive		curated_0069	0.9651546478271484
curated_0070	SAFB	1	17918	937	curated_positive		curated_0070	0.9460961818695068
curated_0071	CIZ1	1	17918	898	curated_positive		curated_0071	0.9671024680137634
curated_0072	HNRNPA0	1	17918	305	curated_positive		curated_0072	0.925487220287323
curated_0073	YTHDC1	1	17918	736	curated_positive		curated_0073	0.9293771982192993
curated_0074	SRSF7	1	17918	267	curated_positive		curated_0074	0.9398555159568787
curated_0075	RALY	1	17918	312	curated_positive		curated_0075	0.913893461227417
curated_0076	DDX17	1	17918	650	curated_positive		curated_0076	0.9353189468383789
curated_0077	RNF2	1	17918	336	curated_positive		curated_0077	0.8943849205970764
curated_0078	THOC4	1	17918	255	curated_positive		curated_0078	0.9526500105857849
curated_0079	SARNP	1	17918	210	curated_positive		curated_0079	0.9437201023101807
curated_0080	ELAVL1	1	17918	326	curated_positive		curated_0080	0.8708432912826538
curated_0081	HNRPDL	1	17918	301	curated_positive		curated_0081	0.9090256690979004
curated_0082	SRSF3	1	17918	164	curated_positive		curated_0082	0.671671986579895
curated_0083	SRSF2	1	17918	221	curated_positive		curated_0083	0.9439331293106079
curated_0084	TRIM6	1	17918	488	curated_positive		curated_0084	0.9126713871955872
curated_0085	RBM4	1	17918	361	curated_positive		curated_0085	0.8563877940177917
curated_0086	RBFOX2	1	17918	449	curated_positive		curated_0086	0.9076298475265503
curated_0087	RBM3	1	17918	153	curated_positive		curated_0087	0.9627822637557983
curated_0088	SRSF9	1	17918	222	curated_positive		curated_0088	0.9590277671813965
curated_0089	POLDIP3	1	17918	420	curated_positive		curated_0089	0.8274199962615967
curated_0090	SRSF10	1	17918	262	curated_positive		curated_0090	0.9511195421218872
curated_0091	ZFR	1	17918	1074	curated_positive		curated_0091	0.8996559381484985
curated_0092	WTAP	1	17918	396	curated_positive		curated_0092	0.9514373540878296
curated_0093	CELF1	1	17918	486	curated_positive		curated_0093	0.9891443848609924
curated_0094	ERH	1	17918	104	curated_positive		curated_0094	0.9260890483856201
curated_0095	LIN28A	1	17918	209	curated_positive		curated_0095	0.9882042407989502
curated_0096	PCGF5	1	17918	256	curated_positive		curated_0096	0.9579579830169678
curated_0097	RYBP	1	17918	228	curated_positive		curated_0097	0.9051933884620667
curated_0098	RNF20	1	17918	973	curated_positive		curated_0098	0.9064902067184448
curated_0099	RNMT	1	17918	465	curated_positive		curated_0099	0.966539204120636
curated_0100	PTBP2	1	17918	531	curated_positive		curated_0100	0.7374792098999023
curated_0101	SAP18	1	17918	153	curated_positive		curated_0101	0.9411506056785583
curated_0102	TRIM71	1	17918	855	curated_positive		curated_0102	0.9540358185768127
curated_0103	IGF2BP3	1	17918	579	curated_positive		curated_0103	0.8928338289260864
curated_0104	L1TD1	1	17918	782	curated_positive		curated_0104	0.8874481320381165
curated_0105	MYBBP1A	1	17918	1344	curated_positive		curated_0105	0.9371808171272278
curated_0106	YBX1	1	2362	324	curated_positive		curated_0106	0.6006215214729309
curated_0107	CDK6	1	2362	326	curated_positive		curated_0107	0.7349289059638977
curated_0108	TCTP	1	2362	172	curated_positive		curated_0108	0.7424389719963074
curated_0109	LSD1 (KDM1A)	1	2362	852	curated_positive		curated_0109	0.5342788696289062
curated_0110	EZH2	1	2362	746	curated_positive		curated_0110	0.7471134066581726
curated_0111	AKT1	1	2362	480	curated_positive		curated_0111	0.6704301834106445
curated_0112	RSK1 (RPS6KA1)	1	2362	735	curated_positive		curated_0112	0.7269824147224426
curated_0113	ERK1 (MAPK3)	1	2362	382	curated_positive		curated_0113	0.6415433883666992
curated_0114	ERK2 (MAPK1)	1	2362	360	curated_positive		curated_0114	0.6316628456115723
curated_0116	YBX1 (CSD domain)	1	2362	78	curated_positive		curated_0116	0.7206220030784607
curated_0117	YBX1 (CSD domain)	1	10227	78	curated_positive		curated_0117	0.807044506072998
curated_0119	FBF-1 (part)	1	28	494	curated_positive		curated_0119	0.6048030257225037
curated_0121	FBF-1 (part)	1	30	494	curated_positive		curated_0121	0.46202296018600464
curated_0123	FBF-2 (part)	1	28	631	curated_positive		curated_0123	0.5247770547866821
curated_0124	FBF-2 (part)	1	30	631	curated_positive		curated_0124	0.38211628794670105
curated_0129	Puf3	1	137	879	curated_positive		curated_0129	0.6117706894874573
curated_0130	Puf3	1	101	879	curated_positive		curated_0130	0.6117706894874573
curated_0131	Puf3	1	76	879	curated_positive		curated_0131	0.43116897344589233
curated_0133	RBM5 (part)	1	10	117	curated_positive		curated_0133	0.1467595398426056
curated_0144	FMRP-NT	1	76	217	curated_positive		curated_0144	0.5107924342155457
curated_0151	ASF/SF2	1	58	248	curated_positive		curated_0151	0.6466829180717468
curated_0152	ASF/SF2	1	58	248	curated_positive		curated_0152	0.6350124478340149
curated_0153	ASF/SF2	1	58	248	curated_positive		curated_0153	0.5927501320838928
curated_0154	ASF/SF2	1	56	248	curated_positive		curated_0154	0.6759937405586243
curated_0157	SC35	1	58	221	curated_positive		curated_0157	0.4170832931995392
curated_0158	SC35	1	57	221	curated_positive		curated_0158	0.5782483220100403
curated_0162	MCP (MS2 Coat Protein)	1	20	130	curated_positive		curated_0162	0.1264777034521103
curated_0164	MCP (MS2 Coat Protein)	1	20	130	curated_positive		curated_0164	0.19201971590518951
curated_0001	HNRNPL	0	1184	589	curated_negative	curated	nan	0.7004892230033875
curated_0004	HNRNPR	0	331	632	curated_negative	curated	nan	0.4952503442764282
curated_0008	IGF2BP3	0	1609	579	curated_negative	curated	nan	0.5423613786697388
curated_0011	IGF2BP1	0	26	158	curated_negative	curated	nan	0.4159923195838928
curated_0012	IGF2BP1	0	21	158	curated_negative	curated	nan	0.5485185384750366
curated_0013	IGF2BP1	0	40	158	curated_negative	curated	nan	0.47968366742134094
curated_0016	IGF2BP1	0	22	158	curated_negative	curated	nan	0.4928895831108093
curated_0017	IGF2BP1	0	20	158	curated_negative	curated	nan	0.4439847469329834
curated_0018	IGF2BP1	0	54	158	curated_negative	curated	nan	0.4809885621070862
curated_0019	IGF2BP1	0	28	158	curated_negative	curated	nan	0.5755762457847595
curated_0020	IGF2BP1	0	28	158	curated_negative	curated	nan	0.5003066062927246
curated_0035	YTHDF1	0	3978	559	curated_negative	curated	nan	0.7408991456031799
curated_0047	PTB1 (RBD34)	0	6	208	curated_negative	curated	nan	0.09970018267631531
curated_0051	FBF-1	0	37	494	curated_negative	curated	nan	0.29965096712112427
curated_0052	FBF-1	0	37	494	curated_negative	curated	nan	0.37796416878700256
curated_0053	FBF-1	0	35	494	curated_negative	curated	nan	0.32829123735427856
curated_0054	FBF-1	0	30	494	curated_negative	curated	nan	0.14731505513191223
curated_0115	YBX1 (CTD domain)	0	2362	195	curated_negative	curated	nan	0.6140612959861755
curated_0118	YBX1 (CTD domain)	0	10227	195	curated_negative	curated	nan	0.619071900844574
curated_0120	FBF-1 (part)	0	28	494	curated_negative	curated	nan	0.6383378505706787
curated_0122	FBF-1 (part)	0	30	494	curated_negative	curated	nan	0.5176120400428772
curated_0125	PUF-5	0	28	553	curated_negative	curated	nan	0.5832873582839966
curated_0126	PUF-5	0	30	553	curated_negative	curated	nan	0.44875961542129517
curated_0127	FBF-1 (part)	0	38	494	curated_negative	curated	nan	0.5424356460571289
curated_0128	FBF-1 (part)	0	32	494	curated_negative	curated	nan	0.26182129979133606
curated_0134	RBM5 (part)	0	9	91	curated_negative	curated	nan	0.09212793409824371
curated_0135	ZBP1 (part)	0	54	157	curated_negative	curated	nan	0.29823049902915955
curated_0136	ZBP1 (part)	0	54	160	curated_negative	curated	nan	0.236233651638031
curated_0137	ZBP1 (part)	0	26	158	curated_negative	curated	nan	0.4159923195838928
curated_0138	ZBP1 (part)	0	21	158	curated_negative	curated	nan	0.5485185384750366
curated_0139	ZBP1 (part)	0	40	158	curated_negative	curated	nan	0.47968366742134094
curated_0140	L7Ae	0	82	119	curated_negative	curated	nan	0.43617525696754456
curated_0141	L7Ae	0	73	119	curated_negative	curated	nan	0.4576762616634369
curated_0142	FMRP-KH1	0	152	76	curated_negative	curated	nan	0.4593365490436554
curated_0143	FMRP-KH2	0	152	142	curated_negative	curated	nan	0.4846368432044983
curated_0145	FMRP-NT	0	25	217	curated_negative	curated	nan	0.44286999106407166
curated_0146	BSA	0	152	607	curated_negative	curated	nan	0.47694236040115356
curated_0147	NusG	0	152	248	curated_negative	curated	nan	0.4789651036262512
curated_0148	FMRP-NT	0	30	217	curated_negative	curated	nan	0.42988428473472595
curated_0155	ASF/SF2	0	58	248	curated_negative	curated	nan	0.40193596482276917
curated_0156	ASF/SF2	0	58	248	curated_negative	curated	nan	0.03609597682952881
curated_0159	SC35	0	58	221	curated_negative	curated	nan	0.5632219314575195
curated_0160	SC35	0	60	221	curated_negative	curated	nan	0.18945805728435516
curated_0161	SC35	0	58	221	curated_negative	curated	nan	0.4326114356517792
curated_0163	MCP (MS2 Coat Protein)	0	20	130	curated_negative	curated	nan	0.08535554260015488
curated_0000__neg_shuffle_uniform_0	HNRNPL	0	1184	589	generated_negative	shuffle_uniform	curated_0000	0.8138592839241028
curated_0000__neg_shuffle_dinucleotide_0	HNRNPL	0	1184	589	generated_negative	shuffle_dinucleotide	curated_0000	0.5981754064559937
curated_0000__neg_cross_protein_0	MCP (MS2 Coat Protein)	0	1184	130	generated_negative	cross_protein	curated_0000	0.6760990023612976
curated_0000__neg_cross_rna_0	HNRNPL	0	6	589	generated_negative	cross_rna	curated_0000	0.05889667943120003
curated_0002__neg_shuffle_uniform_0	SLBP	0	494	270	generated_negative	shuffle_uniform	curated_0002	0.4818035364151001
curated_0002__neg_shuffle_dinucleotide_0	SLBP	0	494	270	generated_negative	shuffle_dinucleotide	curated_0002	0.4554653763771057
curated_0002__neg_cross_protein_0	PTB1 (RBD2)	0	494	145	generated_negative	cross_protein	curated_0002	0.535795271396637
curated_0002__neg_cross_rna_0	SLBP	0	6	270	generated_negative	cross_rna	curated_0002	0.5425195097923279
curated_0003__neg_shuffle_uniform_0	HNRNPR	0	331	632	generated_negative	shuffle_uniform	curated_0003	0.3635128140449524
curated_0003__neg_shuffle_dinucleotide_0	HNRNPR	0	331	632	generated_negative	shuffle_dinucleotide	curated_0003	0.1863100379705429
curated_0003__neg_cross_protein_0	ERH	0	331	104	generated_negative	cross_protein	curated_0003	0.519548773765564
curated_0003__neg_cross_rna_0	HNRNPR	0	6	632	generated_negative	cross_rna	curated_0003	0.35688450932502747
curated_0005__neg_shuffle_uniform_0	IGF2BP3	0	177	579	generated_negative	shuffle_uniform	curated_0005	0.4591304361820221
curated_0005__neg_shuffle_dinucleotide_0	IGF2BP3	0	177	579	generated_negative	shuffle_dinucleotide	curated_0005	0.45747771859169006
curated_0005__neg_cross_protein_0	SRSF1 RRM1 E87N	0	177	86	generated_negative	cross_protein	curated_0005	0.46668267250061035
curated_0005__neg_cross_rna_0	IGF2BP3	0	6	579	generated_negative	cross_rna	curated_0005	0.5939936637878418
curated_0006__neg_shuffle_uniform_0	IGF2BP3	0	121	579	generated_negative	shuffle_uniform	curated_0006	0.4736933410167694
curated_0006__neg_shuffle_dinucleotide_0	IGF2BP3	0	121	579	generated_negative	shuffle_dinucleotide	curated_0006	0.45351994037628174
curated_0006__neg_cross_protein_0	SRSF1 RRM1 E87N	0	121	86	generated_negative	cross_protein	curated_0006	0.4172368049621582
curated_0006__neg_cross_rna_0	IGF2BP3	0	6	579	generated_negative	cross_rna	curated_0006	0.2526659071445465
curated_0007__neg_shuffle_uniform_0	IGF2BP3	0	228	579	generated_negative	shuffle_uniform	curated_0007	0.5610411167144775
curated_0007__neg_shuffle_dinucleotide_0	IGF2BP3	0	228	579	generated_negative	shuffle_dinucleotide	curated_0007	0.4514390528202057
curated_0007__neg_cross_protein_0	SRSF1 RRM1 E87N	0	228	86	generated_negative	cross_protein	curated_0007	0.3165993094444275
curated_0009__neg_shuffle_uniform_0	IGF2BP1	0	54	158	generated_negative	shuffle_uniform	curated_0009	0.5809056162834167
curated_0009__neg_shuffle_dinucleotide_0	IGF2BP1	0	54	158	generated_negative	shuffle_dinucleotide	curated_0009	0.5205565094947815
curated_0009__neg_cross_protein_0	SRSF1 RRM1 E87N	0	54	86	generated_negative	cross_protein	curated_0009	0.1380932331085205
curated_0009__neg_cross_rna_0	IGF2BP1	0	6	158	generated_negative	cross_rna	curated_0009	0.5190175175666809
curated_0010__neg_shuffle_uniform_0	IGF2BP1	0	28	158	generated_negative	shuffle_uniform	curated_0010	0.5191132426261902
curated_0010__neg_shuffle_dinucleotide_0	IGF2BP1	0	28	158	generated_negative	shuffle_dinucleotide	curated_0010	0.4561397135257721
curated_0010__neg_cross_protein_0	SRSF1 RRM1 E87N	0	28	86	generated_negative	cross_protein	curated_0010	0.18957898020744324
curated_0010__neg_cross_rna_0	IGF2BP1	0	6	158	generated_negative	cross_rna	curated_0010	0.41967523097991943
curated_0014__neg_shuffle_uniform_0	IGF2BP1	0	26	158	generated_negative	shuffle_uniform	curated_0014	0.5500174760818481
curated_0014__neg_shuffle_dinucleotide_0	IGF2BP1	0	26	158	generated_negative	shuffle_dinucleotide	curated_0014	0.4914385974407196
curated_0014__neg_cross_protein_0	SRSF1 RRM1 E87N	0	26	86	generated_negative	cross_protein	curated_0014	0.17197485268115997
curated_0014__neg_cross_rna_0	IGF2BP1	0	10	158	generated_negative	cross_rna	curated_0014	0.41772323846817017
curated_0015__neg_shuffle_uniform_0	IGF2BP1	0	24	158	generated_negative	shuffle_uniform	curated_0015	0.49337154626846313
curated_0015__neg_shuffle_dinucleotide_0	IGF2BP1	0	24	158	generated_negative	shuffle_dinucleotide	curated_0015	0.4783748984336853
curated_0015__neg_cross_protein_0	SRSF1 RRM1 E87N	0	24	86	generated_negative	cross_protein	curated_0015	0.17385752499103546
curated_0021__neg_shuffle_uniform_0	IGF2BP1	0	28	158	generated_negative	shuffle_uniform	curated_0021	0.5271872878074646
curated_0021__neg_shuffle_dinucleotide_0	IGF2BP1	0	28	158	generated_negative	shuffle_dinucleotide	curated_0021	0.4971635639667511
curated_0021__neg_cross_protein_0	SRSF1 RRM1 E87N	0	28	86	generated_negative	cross_protein	curated_0021	0.25168710947036743
curated_0022__neg_shuffle_uniform_0	HsPUM1	0	19	318	generated_negative	shuffle_uniform	curated_0022	0.4305572807788849
curated_0022__neg_shuffle_dinucleotide_0	HsPUM1	0	19	318	generated_negative	shuffle_dinucleotide	curated_0022	0.5986794829368591
curated_0022__neg_cross_protein_0	SRSF1 RRM1 E87N	0	19	86	generated_negative	cross_protein	curated_0022	0.2362833172082901
curated_0022__neg_cross_rna_0	HsPUM1	0	6	318	generated_negative	cross_rna	curated_0022	0.10309220105409622
curated_0023__neg_shuffle_uniform_0	HsPUM1	0	14	318	generated_negative	shuffle_uniform	curated_0023	0.2667664587497711
curated_0023__neg_shuffle_dinucleotide_0	HsPUM1	0	14	318	generated_negative	shuffle_dinucleotide	curated_0023	0.8773074150085449
curated_0023__neg_cross_protein_0	SRSF1 RRM1 E87N	0	14	86	generated_negative	cross_protein	curated_0023	0.21036596596240997
curated_0023__neg_cross_rna_0	HsPUM1	0	6	318	generated_negative	cross_rna	curated_0023	0.013602916151285172
curated_0024__neg_shuffle_uniform_0	HsPUM1	0	10	318	generated_negative	shuffle_uniform	curated_0024	0.23410741984844208
curated_0024__neg_shuffle_dinucleotide_0	HsPUM1	0	10	318	generated_negative	shuffle_dinucleotide	curated_0024	0.387432336807251
curated_0024__neg_cross_protein_0	SRSF1 RRM1 E87N	0	10	86	generated_negative	cross_protein	curated_0024	0.2393135130405426
curated_0024__neg_cross_rna_0	HsPUM1	0	17	318	generated_negative	cross_rna	curated_0024	0.16599898040294647
curated_0025__neg_cross_protein_0	PTB1 (RBD1)	0	6	115	generated_negative	cross_protein	curated_0025	0.4976283013820648
curated_0025__neg_cross_rna_0	SRSF1 RRM1 E87N	0	6	86	generated_negative	cross_rna	curated_0025	0.024739976972341537
curated_0026__neg_shuffle_uniform_0	IGF2BP2	0	1174	599	generated_negative	shuffle_uniform	curated_0026	0.6918697357177734
curated_0026__neg_shuffle_dinucleotide_0	IGF2BP2	0	1174	599	generated_negative	shuffle_dinucleotide	curated_0026	0.5135233998298645
curated_0026__neg_cross_protein_0	SRSF1 RRM1 E87N	0	1174	86	generated_negative	cross_protein	curated_0026	0.614179790019989
curated_0026__neg_cross_rna_0	IGF2BP2	0	6	599	generated_negative	cross_rna	curated_0026	0.6659917831420898
curated_0030__neg_shuffle_uniform_0	PCBP2	0	3978	365	generated_negative	shuffle_uniform	curated_0030	0.6925004124641418
curated_0030__neg_shuffle_dinucleotide_0	PCBP2	0	3978	365	generated_negative	shuffle_dinucleotide	curated_0030	0.608609139919281
curated_0030__neg_cross_protein_0	SRSF1 RRM1 E87N	0	3978	86	generated_negative	cross_protein	curated_0030	0.7986659407615662
curated_0030__neg_cross_rna_0	PCBP2	0	6	365	generated_negative	cross_rna	curated_0030	0.12865763902664185
curated_0031__neg_shuffle_uniform_0	METTL3	0	3978	580	generated_negative	shuffle_uniform	curated_0031	0.5964488387107849
curated_0031__neg_shuffle_dinucleotide_0	METTL3	0	3978	580	generated_negative	shuffle_dinucleotide	curated_0031	0.6114776730537415
curated_0031__neg_cross_rna_0	METTL3	0	6	580	generated_negative	cross_rna	curated_0031	0.4256787598133087
curated_0032__neg_shuffle_uniform_0	METTL14	0	150	456	generated_negative	shuffle_uniform	curated_0032	0.40110233426094055
curated_0032__neg_shuffle_dinucleotide_0	METTL14	0	150	456	generated_negative	shuffle_dinucleotide	curated_0032	0.35896822810173035
curated_0032__neg_cross_protein_0	PTB1 (RBD2)	0	150	145	generated_negative	cross_protein	curated_0032	0.6767820119857788
curated_0032__neg_cross_rna_0	METTL14	0	6	456	generated_negative	cross_rna	curated_0032	0.4081640839576721
curated_0033__neg_shuffle_uniform_0	WTAP	0	150	396	generated_negative	shuffle_uniform	curated_0033	0.726767897605896
curated_0033__neg_shuffle_dinucleotide_0	WTAP	0	150	396	generated_negative	shuffle_dinucleotide	curated_0033	0.4039890170097351
curated_0033__neg_cross_rna_0	WTAP	0	6	396	generated_negative	cross_rna	curated_0033	0.4388525187969208
curated_0034__neg_shuffle_uniform_0	YTHDF2	0	150	579	generated_negative	shuffle_uniform	curated_0034	0.5260836482048035
curated_0034__neg_shuffle_dinucleotide_0	YTHDF2	0	150	579	generated_negative	shuffle_dinucleotide	curated_0034	0.357809454202652
curated_0034__neg_cross_protein_0	YBX1 (CSD domain)	0	150	78	generated_negative	cross_protein	curated_0034	0.4426984190940857
curated_0034__neg_cross_rna_0	YTHDF2	0	6	579	generated_negative	cross_rna	curated_0034	0.4371891915798187
curated_0036__neg_shuffle_uniform_0	PTB1 (RBD1)	0	6	115	generated_negative	shuffle_uniform	curated_0036	0.23661383986473083
curated_0036__neg_cross_protein_0	ERH	0	6	104	generated_negative	cross_protein	curated_0036	0.29082775115966797
curated_0036__neg_cross_rna_0	PTB1 (RBD1)	0	54	115	generated_negative	cross_rna	curated_0036	0.25664010643959045
curated_0037__neg_shuffle_uniform_0	PTB1 (RBD2)	0	6	145	generated_negative	shuffle_uniform	curated_0037	0.37407612800598145
curated_0037__neg_cross_protein_0	RBM5 (part)	0	6	117	generated_negative	cross_protein	curated_0037	0.15994364023208618
curated_0037__neg_cross_rna_0	PTB1 (RBD2)	0	54	145	generated_negative	cross_rna	curated_0037	0.32387205958366394
curated_0038__neg_shuffle_uniform_0	PTB1 (RBD3)	0	6	208	generated_negative	shuffle_uniform	curated_0038	0.08418937027454376
curated_0038__neg_cross_rna_0	PTB1 (RBD3)	0	54	208	generated_negative	cross_rna	curated_0038	0.27458152174949646
curated_0039__neg_shuffle_uniform_0	PTB1 (RBD4)	0	6	208	generated_negative	shuffle_uniform	curated_0039	0.09988146275281906
curated_0039__neg_cross_rna_0	PTB1 (RBD4)	0	28	208	generated_negative	cross_rna	curated_0039	0.44198060035705566
curated_0040__neg_shuffle_uniform_0	PTB1 (RBD34)	0	17	208	generated_negative	shuffle_uniform	curated_0040	0.4903486967086792
curated_0040__neg_shuffle_dinucleotide_0	PTB1 (RBD34)	0	17	208	generated_negative	shuffle_dinucleotide	curated_0040	0.13938090205192566
curated_0040__neg_cross_protein_0	RBM5 (part)	0	17	117	generated_negative	cross_protein	curated_0040	0.04431439936161041
curated_0040__neg_cross_rna_0	PTB1 (RBD34)	0	19	208	generated_negative	cross_rna	curated_0040	0.2996613681316376
curated_0041__neg_shuffle_uniform_0	PTB1 (RBD34)	0	22	208	generated_negative	shuffle_uniform	curated_0041	0.4814641773700714
curated_0041__neg_shuffle_dinucleotide_0	PTB1 (RBD34)	0	22	208	generated_negative	shuffle_dinucleotide	curated_0041	0.047127507627010345
curated_0041__neg_cross_protein_0	RBM5 (part)	0	22	117	generated_negative	cross_protein	curated_0041	0.038865331560373306
curated_0041__neg_cross_rna_0	PTB1 (RBD34)	0	14	208	generated_negative	cross_rna	curated_0041	0.2343984842300415
curated_0042__neg_shuffle_uniform_0	PTB1 (RBD34)	0	27	208	generated_negative	shuffle_uniform	curated_0042	0.3917720317840576
curated_0042__neg_shuffle_dinucleotide_0	PTB1 (RBD34)	0	27	208	generated_negative	shuffle_dinucleotide	curated_0042	0.04809562489390373
curated_0042__neg_cross_protein_0	RBM5 (part)	0	27	117	generated_negative	cross_protein	curated_0042	0.03978399187326431
curated_0042__neg_cross_rna_0	PTB1 (RBD34)	0	10	208	generated_negative	cross_rna	curated_0042	0.376564621925354
curated_0043__neg_shuffle_uniform_0	PTB1 (RBD34)	0	33	208	generated_negative	shuffle_uniform	curated_0043	0.30199024081230164
curated_0043__neg_shuffle_dinucleotide_0	PTB1 (RBD34)	0	33	208	generated_negative	shuffle_dinucleotide	curated_0043	0.04809562489390373
curated_0043__neg_cross_protein_0	RBM5 (part)	0	33	117	generated_negative	cross_protein	curated_0043	0.03978399187326431
curated_0043__neg_cross_rna_0	PTB1 (RBD34)	0	6	208	generated_negative	cross_rna	curated_0043	0.5703858137130737
curated_0044__neg_shuffle_uniform_0	PTB1 (RBD34)	0	39	208	generated_negative	shuffle_uniform	curated_0044	0.44923439621925354
curated_0044__neg_shuffle_dinucleotide_0	PTB1 (RBD34)	0	39	208	generated_negative	shuffle_dinucleotide	curated_0044	0.03931324556469917
curated_0044__neg_cross_protein_0	RBM5 (part)	0	39	117	generated_negative	cross_protein	curated_0044	0.03978399187326431
curated_0044__neg_cross_rna_0	PTB1 (RBD34)	0	28	208	generated_negative	cross_rna	curated_0044	0.5940470099449158
curated_0045__neg_shuffle_uniform_0	PTB1 (RBD34)	0	44	208	generated_negative	shuffle_uniform	curated_0045	0.5401132702827454
curated_0045__neg_shuffle_dinucleotide_0	PTB1 (RBD34)	0	44	208	generated_negative	shuffle_dinucleotide	curated_0045	0.03931324556469917
curated_0045__neg_cross_protein_0	RBM5 (part)	0	44	117	generated_negative	cross_protein	curated_0045	0.03978399187326431
curated_0046__neg_shuffle_uniform_0	PTB1 (RBD34)	0	6	208	generated_negative	shuffle_uniform	curated_0046	0.0981113612651825
curated_0046__neg_cross_rna_0	PTB1 (RBD34)	0	26	208	generated_negative	cross_rna	curated_0046	0.44356784224510193
curated_0048__neg_shuffle_uniform_0	PTB1	0	6	531	generated_negative	shuffle_uniform	curated_0048	0.3863327205181122
curated_0048__neg_cross_rna_0	PTB1	0	54	531	generated_negative	cross_rna	curated_0048	0.30456265807151794
curated_0049__neg_shuffle_uniform_0	FBF-1	0	37	494	generated_negative	shuffle_uniform	curated_0049	0.23913443088531494
